"poll_id","location_line_1","location_line_2","Zone"
5420,"HIGHLAND HILLS VILLAGE HALL","3700 NORTHFIELD ROAD",3
5450,"HIGHLAND HTS COMMUNITY CENTER","5827 HIGHLAND ROAD",1
8059,"HOPE UNITED CHURCH","499 TREBISKY ROAD",1
5520,"HORACE MANN ELEMENTARY SCHOOL","1215 WEST CLIFTON BOULEVARD",6
7560,"HOWARD CHAPMAN ELEMENTARY SCHOOL","13883 DRAKE ROAD",5
5440,"HUNTING VALLEY VILLAGE HALL","38251 FAIRMOUNT BOULEVARD",1
8187,"IMANI TEMPLE MINISTRIES","2463 NORTH TAYLOR ROAD",2
8233,"INDEPENDENCE CIVIC CENTER","6363 SELIG DRIVE",5
8072,"JOHN ADAMS HIGH SCHOOL","3817 MARTIN LUTHER KING JR DRIVE",3
8279,"JOHN HAY HIGH SCHOOL","2075 STOKES BOULEVARD",2
6250,"JOHN KNOX PRESBYTERIAN CHURCH","25200 LORAIN ROAD",6
6700,"JOHN MUIR ELEMENTARY SCHOOL","5531 WEST 24TH STREET",5
3320,"LAKEVIEW TOWERS APARTMENTS","2700 WASHINGTON AVENUE",4
5570,"LAKEWOOD CITY HALL","12650 DETROIT AVENUE",6
5680,"LAKEWOOD PRESBYTERIAN CHURCH","14502 DETROIT AVENUE",6
5720,"LAKEWOOD UNITED METHODIST CHURCH","15700 DETROIT AVENUE",6
8189,"LAKEWOOD WOMANS CLUB PAVILION","14532 LAKE AVE",6
8048,"LEE ROAD LIBRARY","2345 LEE ROAD",2
3430,"LINCOLN WEST HIGH SCHOOL","3202 WEST 30TH STREET",4
7290,"LOMOND ELEMENTARY SCHOOL","17917 LOMOND BOULEVARD",1
2070,"LOUISA MAY ALCOTT ELEMENTARY SCHOOL","10308 BALTIC ROAD",4
2860,"LUIS MUNOZ MARIN MIDDLE SCHOOL","1701 CASTLE AVENUE",4
8083,"LYNDHURST COMMUNITY CENTER","1341 PARKVIEW DRIVE",1
5880,"LYNDHURST COMMUNITY OF FAITH CHURCH","5312 MAYFIELD ROAD",1
8328,"MAGNET CONSULTING","1800 EAST 63RD STREET",2
6240,"MAPLE ELEMENTARY SCHOOL","24101 MAPLE RIDGE ROAD",6
8080,"MAPLE HTS BRANCH LIBRARY","5225 LIBRARY LANE",3
8160,"MAPLE LEAF ELEMENTARY SCHOOL","5764 TURNEY ROAD",3
3380,"MARION STERLING ELEMENTARY SCHOOL","3033 CENTRAL AVENUE",4
2290,"MARY M BETHUNE SCHOOL","11815 MOULTON AVENUE",2
8203,"MAX S. HAYES HIGH SCHOOL","2211 WEST 65TH STREET",4
8074,"MAYFAIR ELEMENTARY SCHOOL","13916 MAYFAIR AVENUE",2
8334,"MAYFIELD HTS AQUATIC & COMMUNITY CENTER","6080 MARSOL ROAD",1
8205,"MAYFIELD VILLAGE CIVIC CENTER","6622 WILSON MILLS ROAD",1
8041,"MEMORIAL SCHOOL","410 EAST 152ND STREET",2
8179,"MESSIAH LUTHERAN CHURCH","5200 MAYFIELD ROAD",1
6770,"MICHAEL A RIES RINK","5000 FORESTWOOD DRIVE",5
4190,"MICHAEL ZONE RECREATION CENTER","6301 LORAIN AVENUE",4
8244,"MIDDLEBURG HTS BRANCH LIBRARY","16699 EAST BAGLEY ROAD",5
6065,"MIDDLEBURG HTS COMMUNITY CENTER","16000 EAST BAGLEY ROAD",5
8147,"MILES PARK K-8 SCHOOL","4090 EAST 93RD STREET",3
2330,"MILES PRE K-8","11918 MILES AVENUE",3
8302,"MOORE COUNSELING AND MEDIATION SERVICES","22639 EUCLID AVENUE",1
3290,"MORNING STAR BAPTIST CHURCH","10250 SHAKER BOULEVARD",3
8182,"MOUND-STEM SCHOOL","5935 ACKLEY ROAD",4
8332,"MOUNT ZION FELLOWSHIP","4265 NORTHFIELD ROAD",3
8134,"MURTIS TAYLOR HUMAN SERVICES CENTER","13411 UNION AVENUE",3
8201,"NATHAN HALE ELEMENTARY SCHOOL","3588 MARTIN LUTHER KING JR DRIVE",3
8322,"NEW HOPE CHURCH","22960 LORAIN ROAD",6
8185,"NEW LIFE CATHEDRAL","16200 EUCLID AVENUE",2
8290,"NEW TECH WEST","11801 WORTHINGTON AVENUE",4
6740,"NORMANDY HIGH SCHOOL","2500 WEST PLEASANT VALLEY ROAD",5
6280,"NORTH OLMSTED BRANCH LIBRARY","27403 LORAIN ROAD",6
6370,"NORTH RANDALL VILLAGE HALL","4610 NORTHFIELD ROAD",3
8162,"NORTH ROYALTON BRANCH LIBRARY","5071 WALLINGS ROAD",5
8237,"NORTH ROYALTON CITY HALL","14600 STATE ROAD",5
8312,"NORTH ROYALTON ELEMENTARY SCHOOL","16400 STATE ROAD",5
6410,"NORTH ROYALTON SENIOR CENTER","13220 RIDGE ROAD",5
6532,"OAKWOOD COMMUNITY CENTER","23035 BROADWAY AVENUE",3
3130,"OLD STONE CHURCH","91 PUBLIC SQUARE",4
8255,"OLIVER HAZARD PERRY ELEMENTARY SCHOOL","18400 SCHENELY AVENUE",2
8156,"OLMSTED FALLS INTERMEDIATE SCHOOL","27043 BAGLEY ROAD",6
8106,"OLMSTED FALLS MIDDLE SCHOOL","27045 BAGLEY ROAD",6
6580,"ORANGE VILLAGE HALL","4600 LANDER ROAD",1
3670,"OUR LADY OF ANGELS LINUS HALL","3600 ROCKY RIVER DRIVE",6
4910,"OUR LADY OF THE LAKE","175 EAST 200TH STREET",1
5910,"OUR SAVIOR LUTHERAN CHURCH","2154 SOM CENTER ROAD",1
6790,"PARMA EVANGELICAL LUTHERAN CHURCH","5280 BROADVIEW ROAD",5
6930,"PARMA LIBRARY","6996 POWERS BOULEVARD",5
3880,"PEARL ROAD UNITED METHODIST CHURCH","4200 PEARL ROAD",4
3310,"PILGRIM CONGREGATIONAL CHURCH","2592 WEST 14TH STREET",4
6940,"PLEASANT VALLEY ELEMENTARY SCHOOL","9906 WEST PLEASANT VALLEY ROAD",5
1940,"PLYMOUTH CHURCH UCC","2860 COVENTRY ROAD",3
8178,"PRIMERA IGLESIA BAUTISTA HISPANA","6800 DENISON AVENUE",4
4890,"PROSPECT ACADEMY","1843 STANWOOD ROAD",2
8310,"RICHMOND HTS UPPER SCHOOL","447 RICHMOND ROAD",1
6710,"RIDGE-BROOK ELEMENTARY SCHOOL","7915 MANHATTAN AVENUE",5
6890,"RIDGEWOOD UNITED METHODIST CHURCH","6330 RIDGE ROAD",5
8040,"RIVERSIDE ELEMENTARY SCHOOL","14601 MONTROSE AVENUE",6
2880,"RIVERVIEW APARTMENTS","1795 WEST 25TH STREET",4
2580,"ROBERT H JAMISON PRE K-8 SCHOOL","4092 EAST 146TH STREET",3
8256,"ROBINSON G JONES ELEMENTARY SCHOOL","4550 WEST 150TH STREET",4
7050,"ROCKY RIVER CIVIC CENTER","21016 HILLIARD BOULEVARD",6
7070,"ROCKY RIVER PRESBYTERIAN CHURCH","21750 DETROIT ROAD",6
7030,"ROCKY RIVER UNITED METHODIST CHURCH","19414 DETROIT ROAD",6
5640,"ROOSEVELT ELEMENTARY SCHOOL","14237 ATHENS AVENUE",6
8153,"SAGRADA FAMILIA","7719 DETROIT AVENUE",4
3420,"SALVATION ARMY CLARK","4402 CLARK AVENUE",4
2940,"SALVATION ARMY GROVEWOOD","17625 GROVEWOOD AVENUE",2
8324,"SANKOFA VILLAGE APARTMENTS","2390 EAST 30TH STREET",4
2340,"SECOND CALVARY BAPTIST CHURCH","12017 EMERY AVENUE",4
8316,"SEVEN HILLS RECREATION CENTER","7777 SUMMITVIEW DRIVE",5
7310,"SHAKER FAMILY CENTER","19824 SUSSEX ROAD",1
7390,"SHAKER HTS MIDDLE SCHOOL","20600 SHAKER BOULEVARD",1
5905,"SHERRI PARK APARTMENTS","2201 ACACIA PARK DRIVE",1
6880,"SHILOH MIDDLE SCHOOL","2303 GRANTWOOD DRIVE",5
8158,"SHOREVIEW ELEMENTARY SCHOOL","490 EAST 260TH STREET",1
8079,"SOLON CITY HALL","34200 BAINBRIDGE ROAD",3
