"poll_id","status","Latitude","Longitude","location_line_1","location_line_2","city","Precincts"
8256,"A",41.4298379999999966,-81.8017750000000063,"ROBINSON G JONES ELEMENTARY SCHOOL","4550 WEST 150TH STREET","CLEVELAND","13L 13M"
7050,"A",41.4678719999999998,-81.8547559999999947,"ROCKY RIVER CIVIC CENTER","21016 HILLIARD BOULEVARD","ROCKY RIVER","2A 2B 2D 4A 4B 4C 4D"
7070,"A",41.4723600000000019,-81.8617100000000022,"ROCKY RIVER PRESBYTERIAN CHURCH","21750 DETROIT ROAD","ROCKY RIVER","1B 1C 1D 2C"
7030,"A",41.4808510000000012,-81.8383419999999973,"ROCKY RIVER UNITED METHODIST CHURCH","19414 DETROIT ROAD","ROCKY RIVER","1A 3A 3B 3C 3D"
5640,"A",41.4736040000000017,-81.7941210000000041,"ROOSEVELT ELEMENTARY SCHOOL","14237 ATHENS AVENUE","LAKEWOOD","2I 3C 3D 3H"
8153,"A",41.4817729999999969,-81.7381599999999935,"SAGRADA FAMILIA","7719 DETROIT AVENUE","CLEVELAND","7N 7O 11A 11E"
3420,"A",41.4698560000000001,-81.7168700000000001,"SALVATION ARMY CLARK","4402 CLARK AVENUE","CLEVELAND","7J 14K 14M"
2940,"A",41.5767549999999986,-81.5572090000000003,"SALVATION ARMY GROVEWOOD","17625 GROVEWOOD AVENUE","CLEVELAND","10I 10L"
8324,"A",41.4948300000000003,-81.6676099999999963,"SANKOFA VILLAGE APARTMENTS","2390 EAST 30TH STREET","CLEVELAND","5A 5N"
2340,"A",41.4438549999999992,-81.7714809999999943,"SECOND CALVARY BAPTIST CHURCH","12017 EMERY AVENUE","CLEVELAND","Cleveland: 13F 13G & Linndale A"
8316,"A",41.3665000000000020,-81.6815500000000014,"SEVEN HILLS RECREATION CENTER","7777 SUMMITVIEW DRIVE","SEVEN HILLS","3A 3B 4A 4B"
7310,"A",41.4632810000000021,-81.5400960000000055,"SHAKER FAMILY CENTER","19824 SUSSEX ROAD","SHAKER HTS","J N"
7390,"A",41.4772800000000004,-81.5323269999999951,"SHAKER HTS MIDDLE SCHOOL","20600 SHAKER BOULEVARD","SHAKER HTS","B I O P T U"
5905,"A",41.5022499999999965,-81.4826050000000066,"SHERRI PARK APARTMENTS","2201 ACACIA PARK DRIVE","LYNDHURST","3A"
6880,"A",41.3957970000000017,-81.6972669999999965,"SHILOH MIDDLE SCHOOL","2303 GRANTWOOD DRIVE","PARMA","4C 9D"
8158,"A",41.6134050000000002,-81.5040070000000014,"SHOREVIEW ELEMENTARY SCHOOL","490 EAST 260TH STREET","EUCLID","5B 7A 7B"
8079,"A",41.3866609999999966,-81.4362830000000031,"SOLON CITY HALL","34200 BAINBRIDGE ROAD","SOLON","6A 6B 6C"
8249,"A",41.3777990000000031,-81.4289310000000057,"SOLON COMMUNITY CENTER","35000 PORTZ PARKWAY","SOLON","2A 2B 3A 3B 4A 4B 4C 7A 7B"
8262,"A",41.5090530000000015,-81.5196459999999945,"SOUTH EUCLID - LYNDHURST BRANCH LIBRARY","1876 SOUTH GREEN ROAD","SOUTH EUCLID","3A 3B 3C"
7160,"A",41.5225459999999984,-81.5213389999999976,"SOUTH EUCLID COMMUNITY CENTER","1370 VICTORY DRIVE","SOUTH EUCLID","1A 1B 2A 2B 2C 2D"
8329,"A",41.3039699999999996,-81.6600880000000018,"SOUTH SUBURBAN MONTESSORI SCHOOL","4450 OAKES ROAD","BRECKSVILLE","F H I J"
1030,"A",41.4842709999999997,-81.9608640000000008,"ST BARNABAS EPISCOPAL CHURCH","468 BRADLEY ROAD","BAY VILLAGE","4A 4B 4C"
2980,"A",41.5808019999999985,-81.5588989999999967,"ST JOHN LUTHERAN CHURCH","17403 NOTTINGHAM ROAD","CLEVELAND","10A 10G"
7890,"A",41.4540900000000008,-81.9451190000000054,"ST LADISLAS CHURCH","2345 BASSETT ROAD","WESTLAKE","3B 5A 5B 5C 5D"
4030,"A",41.4223819999999989,-81.6977559999999983,"ST LEO PARISH COMMUNITY CENTER","4940 BROADVIEW ROAD","CLEVELAND","4N 4O 4P"
8129,"A",41.3675560000000004,-81.8658999999999963,"ST MARYS CATHOLIC CHURCH","250 KRAFT STREET","BEREA","3A 3B"
2710,"A",41.4614910000000023,-81.7955209999999937,"ST MEL HALL","14436 TRISKETT ROAD","CLEVELAND","15M 15O 15Q"
1430,"A",41.3417639999999977,-81.6477309999999932,"ST MICHAELS WOODSIDE HALL","5025 EAST MILL ROAD","BROADVIEW HTS","2A 2B 2C 2D"
3920,"A",41.4354560000000021,-81.8210250000000059,"ST PATRICKS CHURCH","4427 ROCKY RIVER DRIVE","CLEVELAND","15C 15D 15G"
8194,"A",41.4955739999999977,-81.5813809999999933,"ST PAULS EPISCOPAL CHURCH","2747 FAIRMOUNT BOULEVARD","CLEVELAND HTS","1A 1E 1F"
7240,"A",41.3925839999999994,-81.6842610000000064,"ST PETER UNITED CHURCH OF CHRIST","125 EAST RIDGEWOOD DRIVE","SEVEN HILLS","1A 1B 2A 2B"
1590,"A",41.4426059999999978,-81.7395020000000017,"ST THOMAS MORE CHURCH","4180 NORTH AMBER DRIVE","BROOKLYN","11K 11L"
7350,"A",41.4655249999999995,-81.5654229999999956,"STEPHANIE TUBBS JONES COMMUNITY BUILDING","3450 LEE ROAD","SHAKER HTS","D E F G H"
2010,"A",41.5294370000000015,-81.6243489999999952,"STONEBROOK - WHITE SCHOOL","1000 EAST 92ND STREET","CLEVELAND","9M 9S"
8208,"A",41.3076269999999965,-81.8287380000000013,"STRONGSVILLE CITY SCHOOLS ADMIN OFFICES","18199 COOK AVENUE","STRONGSVILLE","2B 2E 2G 4A 4H"
7540,"A",41.3154430000000019,-81.8338109999999972,"STRONGSVILLE COMMUNITY LIBRARY","18700 WESTWOOD DRIVE","STRONGSVILLE","3A 3D 3H 4F"
7600,"A",41.3026330000000002,-81.8450919999999940,"STRONGSVILLE HIGH SCHOOL","20025 LUNN ROAD","STRONGSVILLE","4B 4D 4G"
7530,"A",41.3176989999999975,-81.8365550000000042,"STRONGSVILLE MIDDLE SCHOOL","13200 PEARL ROAD","STRONGSVILLE","3B 3C"
5135,"A",41.6168570000000031,-81.5024389999999954,"STS ROBERT AND WILLIAM CATHOLIC SCHOOL","351 EAST 260TH STREET","EUCLID","6A 6B 6C 7C 7D"
4900,"A",41.5216259999999977,-81.5882349999999974,"SUPERIOR SCHOOL FOR THE PERFORMING ARTS","1865 GARFIELD ROAD","EAST CLEVELAND","2A 2B 2D"
6600,"A",41.4913960000000017,-81.4621640000000014,"THE CHURCH OF THE WESTERN RESERVE","30500 FAIRMOUNT BOULEVARD","PEPPER PIKE","A B E"
8337,"A",41.5012100000000004,-81.6827700000000050,"THE CITY CLUB OF CLEVELAND","1317 EUCLID AVENUE","CLEVELAND","5E 5I"
8181,"A",41.5167160000000024,-81.4446319999999986,"THE DRAKE APARTMENTS","6503 1/2 MARSOL ROAD","MAYFIELD HTS","J"
8258,"A",41.4440049999999971,-81.8549820000000068,"THE GEMINI CENTER","21225 LORAIN ROAD","FAIRVIEW PARK","2A 2B 2C"
6810,"A",41.4141120000000029,-81.7217809999999929,"THOREAU PARK ELEMENTARY SCHOOL","5401 WEST 54TH STREET","PARMA","3B 3C 3E"
4550,"A",41.5102550000000008,-81.6268879999999939,"THURGOOD MARSHALL RECREATION CENTER","8611 HOUGH AVENUE","CLEVELAND","6A 6B 8J 8P"
3250,"A",41.4786610000000024,-81.6867519999999985,"TREMONT MONTESSORI SCHOOL","2409 WEST 10TH STREET","CLEVELAND","7F 7M (No Active Splits Nov 2025)"
8135,"A",41.3642919999999989,-81.7954699999999946,"TRINITY CHURCH","14040 EAST BAGLEY ROAD","MIDDLEBURG HTS","4A 4B"
8117,"A",41.4089290000000005,-81.8191209999999955,"UAW HALL LOCAL 1250","17250 HUMMEL ROAD","BROOK PARK","3A.01 3A.02 3B 3C"
3570,"A",41.4639540000000011,-81.6163360000000040,"UNION SQUARE APARTMENTS","3495 EAST 98TH STREET","CLEVELAND","6E"
7170,"A",41.5011009999999985,-81.5408869999999979,"UNIVERSITY HTS LIBRARY","13866 CEDAR ROAD","UNIVERSITY HTS","S Euc 4A & Unv. Hts: A B"
6670,"A",41.3729810000000029,-81.7585279999999983,"VALLEY FORGE HIGH SCHOOL","9999 INDEPENDENCE BOULEVARD","PARMA HTS","3A 3B 3C"
7710,"A",41.3806689999999975,-81.6068889999999953,"VALLEY VIEW COMMUNITY CENTER","6828 HATHAWAY ROAD","VALLEY VIEW","A B"
8336,"A",41.5186898204116517,-81.5197530404710733,"VICS EVENT CENTER","1512 SOUTH GREEN ROAD","SOUTH EUCLID","3D 4D"
8007,"A",41.5285089999999997,-81.5779289999999975,"W H KIRK MIDDLE SCHOOL","14410 TERRACE ROAD","EAST CLEVELAND","2C 3A 3C"
4370,"A",41.5154009999999971,-81.6348559999999992,"WADE PARK SCHOOL","7600 WADE PARK AVENUE","CLEVELAND","8F 8H"
8333,"A",41.3576588476811011,-81.5792393648392391,"WALTON HILLS COMMUNITY EVENT CENTER","14660 ALEXANDER ROAD","WALTON HILLS","A B"
8180,"A",41.4385449999999977,-81.6275749999999931,"WARNER GIRLS LEADERSHIP ACADEMY","8315 JEFFRIES AVENUE","CLEVELAND","2M 2N"
7780,"A",41.4408540000000016,-81.5257790000000000,"WARRENSVILLE HTS BRANCH LIBRARY","4415 NORTHFIELD ROAD","WARRENSVILLE HTS","4A 4B"
8170,"A",41.4364139999999992,-81.5155919999999981,"WARRENSVILLE HTS SENIOR CENTER","4567 GREEN ROAD","WARRENSVILLE HTS","5A 5B 6A 7A 7B.01 7B.02"
8234,"A",41.4267219999999980,-81.7792160000000052,"WEST PARK ACADEMY","4697 WEST 130TH STREET","CLEVELAND","13N 13O 13P 13Q"
8321,"A",41.4616100000000003,-81.8893400000000042,"WESTLAKE BOE AT HILLIARD","24365 HILLIARD BOULEVARD","WESTLAKE","1D 2A 2C 3A"
8056,"A",41.4607969999999995,-81.9246810000000067,"WESTLAKE CITY HALL","27700 HILLIARD BOULEVARD","WESTLAKE","3C 3D"
8313,"A",41.4438900000000032,-81.9381999999999948,"WESTLAKE CTR FOR COMMUNITY SERVICES","28975 HILLIARD BOULEVARD","WESTLAKE","2B 2D 6A 6B 6C 6D"
8196,"A",41.4449230000000028,-81.9388830000000041,"WESTLAKE RECREATION CENTER","28955 HILLIARD BOULEVARD","WESTLAKE","4A 4B 4C 4D"
8252,"A",41.4518130000000014,-81.7632849999999962,"WESTSIDE COMMUNITY SCHOOL OF THE ARTS","3727 BOSWORTH ROAD","CLEVELAND","12J 12M"
8315,"A",41.4492300000000000,-81.5531799999999976,"WHITNEY YOUNG PRE-8 SCHOOL","17900 HARVARD AVENUE","CLEVELAND","1L 1M 1N 1P 1Q"
8253,"A",41.4276869999999988,-81.7248409999999978,"WILLIAM RAINEY HARPER PRE-3 SCHOOL","5515 IRA AVENUE","CLEVELAND","4J 4K 4L"
8154,"A",41.5239029999999971,-81.6274130000000042,"WILLSON SCHOOL","1126 ANSEL ROAD","CLEVELAND","8G 8I"
8240,"A",41.5350299999999990,-81.6230029999999971,"WILLSON UNITED METHODIST CHURCH","9226 ST CLAIR AVENUE","CLEVELAND","8K 8M 8N"
7860,"A",41.4626560000000026,-81.4815679999999958,"WOODMERE TOWN HALL","27899 CHAGRIN BOULEVARD","WOODMERE","A"
6170,"A",41.4131089999999986,-81.5626960000000025,"WYLIE ATHLETIC CENTER AT MAPLE HTS HIGH","1 MUSTANG WAY","MAPLE HTS","4A 4B 4C 5A 5B 6A 6B 7A 7B 7C"
2390,"A",41.4723370000000031,-81.6088850000000008,"ZELMA GEORGE RECREATION CENTER","3155 MARTIN LUTHER KING JR DRIVE","CLEVELAND","3C. 3D 3E 3F 3G 3Q (No Active Splits Nov 2025)"
